team,games,pts_for_pg,pts_against_pg
ARI,17,20.882,28.706
ATL,17,20.765,23.588
BAL,17,24.941,23.412
BUF,17,28.294,21.471
CAR,17,18.294,22.353
CHI,17,25.941,24.412
CIN,17,24.353,28.941
CLE,17,16.412,22.294
DAL,17,27.706,30.059
DEN,17,23.588,18.294
DET,17,28.294,24.294
GB,17,23.0,21.176
HOU,17,23.765,17.353
IND,17,27.412,24.235
JAX,17,27.882,19.765
KC,17,21.294,19.294
LA,17,30.471,20.353
LAC,17,21.647,20.0
LV,17,14.176,25.412
MIA,17,20.412,24.941
MIN,17,20.235,19.588
NE,17,28.824,18.824
NO,17,18.0,22.529
NYG,17,22.412,25.824
NYJ,17,17.647,29.588
PHI,17,22.294,19.118
PIT,17,23.353,22.765
SEA,17,28.412,17.176
SF,17,25.706,21.824
TB,17,22.353,24.176
TEN,17,16.706,28.118
WAS,17,20.941,26.529
_RESIDUAL_SD,544,8.988,
