week,gameday,away_team,home_team,spread_line,total_line
1,2026-09-09,NE,SEA,3,44.5
1,2026-09-10,SF,LA,3.5,48.5
1,2026-09-13,CHI,CAR,-3,46.5
1,2026-09-13,TB,CIN,3.5,50.5
1,2026-09-13,NO,DET,7,50.5
1,2026-09-13,BUF,HOU,-1.5,44.5
1,2026-09-13,BAL,IND,-3.5,47.5
1,2026-09-13,CLE,JAX,8.5,39.5
1,2026-09-13,ATL,PIT,3.5,42.5
1,2026-09-13,NYJ,TEN,1.5,38.5
1,2026-09-13,ARI,LAC,9.5,47.5
1,2026-09-13,MIA,LV,3,40.5
1,2026-09-13,GB,MIN,1.5,46.5
1,2026-09-13,WAS,PHI,5.5,44.5
1,2026-09-13,DAL,NYG,-3,48.5
1,2026-09-14,DEN,KC,2.5,43.5
2,2026-09-17,DET,BUF,3,51.5
2,2026-09-20,CAR,ATL,1.5,43.5
2,2026-09-20,NO,BAL,7.5,46.5
2,2026-09-20,MIN,CHI,3,45.5
2,2026-09-20,CIN,HOU,2.5,45.5
2,2026-09-20,PIT,NE,,
2,2026-09-20,GB,NYJ,-5.5,42.5
2,2026-09-20,CLE,TB,6.5,42.5
2,2026-09-20,PHI,TEN,-5.5,42.5
2,2026-09-20,JAX,DEN,3,43.5
2,2026-09-20,LV,LAC,9.5,42.5
2,2026-09-20,SEA,ARI,,
2,2026-09-20,WAS,DAL,4.5,51.5
2,2026-09-20,MIA,SF,10.5,46.5
2,2026-09-20,IND,KC,6.5,47.5
2,2026-09-21,NYG,LA,9.5,48.5
3,2026-09-24,ATL,GB,7.5,46.5
3,2026-09-27,LAC,BUF,3,48.5
3,2026-09-27,CAR,CLE,-1.5,39.5
3,2026-09-27,NYJ,DET,9.5,45.5
3,2026-09-27,HOU,IND,-1.5,45.5
3,2026-09-27,NE,JAX,,
3,2026-09-27,KC,MIA,-7.5,44.5
3,2026-09-27,TEN,NYG,3,44.5
3,2026-09-27,CIN,PIT,-1.5,46.5
3,2026-09-27,SEA,WAS,,
3,2026-09-27,ARI,SF,11.5,46.5
3,2026-09-27,MIN,TB,1.5,44.5
3,2026-09-27,BAL,DAL,-2.5,51.5
3,2026-09-27,LV,NO,3.5,42.5
3,2026-09-27,LA,DEN,-3,45.5
3,2026-09-28,PHI,CHI,1.5,46.5
4,2026-10-01,PIT,CLE,-2.5,40.5
4,2026-10-04,IND,WAS,1.5,50.5
4,2026-10-04,TEN,BAL,8.5,47.5
4,2026-10-04,NE,BUF,,
4,2026-10-04,NYJ,CHI,8.5,45.5
4,2026-10-04,JAX,CIN,2.5,51.5
4,2026-10-04,DAL,HOU,2.5,47.5
4,2026-10-04,ARI,NYG,7,45.5
4,2026-10-04,LA,PHI,-1.5,47.5
4,2026-10-04,GB,TB,-1.5,47.5
4,2026-10-04,MIA,MIN,7.5,43.5
4,2026-10-04,KC,LV,-5.5,43.5
4,2026-10-04,LAC,SEA,,
4,2026-10-04,DEN,SF,2.5,46.5
4,2026-10-04,DET,CAR,-3,47.5
4,2026-10-05,ATL,NO,2.5,45.5
5,2026-10-08,TB,DAL,3.5,52.5
5,2026-10-11,PHI,JAX,-1.5,45.5
5,2026-10-11,CIN,MIA,-6,49.5
5,2026-10-11,LV,NE,,
5,2026-10-11,MIN,NO,-1.5,44.5
5,2026-10-11,CLE,NYJ,2.5,39.5
5,2026-10-11,IND,PIT,2.5,47.5
5,2026-10-11,HOU,TEN,-3.5,43.5
5,2026-10-11,NYG,WAS,2.5,48.5
5,2026-10-11,DEN,LAC,2.5,44.5
5,2026-10-11,DET,ARI,-8.5,48.5
5,2026-10-11,CHI,GB,3,49.5
5,2026-10-11,SF,SEA,,
5,2026-10-11,BAL,ATL,-4.5,48.5
5,2026-10-12,BUF,LA,3,53.5
6,2026-10-15,SEA,DEN,,
6,2026-10-18,HOU,JAX,1.5,42.5
6,2026-10-18,CHI,ATL,-3,47.5
6,2026-10-18,BAL,CLE,-6.5,44.5
6,2026-10-18,TEN,IND,3.5,47.5
6,2026-10-18,NYJ,NE,,
6,2026-10-18,NO,NYG,2.5,44.5
6,2026-10-18,CAR,PHI,6.5,43.5
6,2026-10-18,PIT,TB,1.5,45.5
6,2026-10-18,ARI,LA,13.5,47.5
6,2026-10-18,LAC,KC,2.5,46.5
6,2026-10-18,BUF,LV,-6.5,47.5
6,2026-10-18,DAL,GB,3,51.5
6,2026-10-19,WAS,SF,5.5,50.5
7,2026-10-22,NE,CHI,,
7,2026-10-25,PIT,NO,-2.5,42.5
7,2026-10-25,SF,ATL,-4.5,47.5
7,2026-10-25,CIN,BAL,3.5,51.5
7,2026-10-25,TB,CAR,-1.5,45.5
7,2026-10-25,NYG,HOU,5.5,43.5
7,2026-10-25,IND,MIN,2.5,46.5
7,2026-10-25,MIA,NYJ,2.5,41.5
7,2026-10-25,CLE,TEN,2.5,40.5
7,2026-10-25,DEN,ARI,-7.5,43.5
7,2026-10-25,GB,DET,2.5,50.5
7,2026-10-25,LA,LV,-7.5,46.5
7,2026-10-25,KC,SEA,,
7,2026-10-26,DAL,PHI,3,48.5
8,2026-10-29,CAR,GB,7,45.5
8,2026-11-01,BAL,BUF,2.5,51.5
8,2026-11-01,TEN,CIN,,
8,2026-11-01,ARI,DAL,10.5,47.5
8,2026-11-01,MIN,DET,,
8,2026-11-01,IND,JAX,4.5,49.5
8,2026-11-01,LV,NYJ,1.5,40.5
8,2026-11-01,CLE,PIT,,
8,2026-11-01,ATL,TB,4.5,46.5
8,2026-11-01,LAC,LA,,
8,2026-11-01,KC,DEN,,
8,2026-11-01,NE,MIA,,
8,2026-11-01,PHI,WAS,,
8,2026-11-02,CHI,SEA,,
9,2026-11-05,JAX,BAL,,
9,2026-11-08,CIN,ATL,,
9,2026-11-08,DEN,CAR,,
9,2026-11-08,DAL,IND,,
9,2026-11-08,NYJ,KC,,
9,2026-11-08,DET,MIA,,
9,2026-11-08,CLE,NO,,
9,2026-11-08,NYG,PHI,,
9,2026-11-08,LA,WAS,,
9,2026-11-08,HOU,LAC,,
9,2026-11-08,LV,SF,,
9,2026-11-08,GB,NE,,
9,2026-11-08,ARI,SEA,,
9,2026-11-08,TB,CHI,,
9,2026-11-09,BUF,MIN,,
10,2026-11-12,WAS,NYG,,
10,2026-11-15,NE,DET,,
10,2026-11-15,KC,ATL,,
10,2026-11-15,HOU,CLE,,
10,2026-11-15,MIN,GB,,
10,2026-11-15,MIA,IND,,
10,2026-11-15,CAR,NO,,
10,2026-11-15,BUF,NYJ,,
10,2026-11-15,JAX,TEN,,
10,2026-11-15,LA,ARI,,
10,2026-11-15,SEA,LV,,
10,2026-11-15,SF,DAL,,
10,2026-11-15,PIT,CIN,,
10,2026-11-16,LAC,BAL,,
11,2026-11-19,IND,HOU,,
11,2026-11-22,MIA,BUF,,
11,2026-11-22,BAL,CAR,,
11,2026-11-22,NO,CHI,,
11,2026-11-22,TEN,DAL,,
11,2026-11-22,TB,DET,,
11,2026-11-22,ARI,KC,,
11,2026-11-22,JAX,NYG,,
11,2026-11-22,NYJ,LAC,,
11,2026-11-22,LV,DEN,,
11,2026-11-22,PIT,PHI,,
11,2026-11-22,MIN,SF,,
11,2026-11-23,CIN,WAS,,
12,2026-11-25,GB,LA,,
12,2026-11-26,CHI,DET,,
12,2026-11-26,PHI,DAL,,
12,2026-11-26,KC,BUF,,
12,2026-11-27,DEN,PIT,,
12,2026-11-29,NO,CIN,,
12,2026-11-29,LV,CLE,,
12,2026-11-29,BAL,HOU,,
12,2026-11-29,NYG,IND,,
12,2026-11-29,NYJ,MIA,,
12,2026-11-29,ATL,MIN,,
12,2026-11-29,TEN,JAX,,
12,2026-11-29,WAS,ARI,,
12,2026-11-29,SEA,SF,,
12,2026-11-29,NE,LAC,,
12,2026-11-30,CAR,TB,,
13,2026-12-03,KC,LA,,
13,2026-12-06,DET,ATL,,
13,2026-12-06,JAX,CHI,,
13,2026-12-06,CIN,CLE,,
13,2026-12-06,GB,NO,,
13,2026-12-06,SF,NYG,,
13,2026-12-06,LAC,TB,,
13,2026-12-06,WAS,TEN,,
13,2026-12-06,PHI,ARI,,
13,2026-12-06,MIA,DEN,,
13,2026-12-06,CAR,MIN,,
13,2026-12-06,BUF,NE,,
13,2026-12-06,HOU,PIT,,
13,2026-12-07,DAL,SEA,,
14,2026-12-10,MIN,NE,,
14,2026-12-13,TB,BAL,,
14,2026-12-13,NO,CAR,,
14,2026-12-13,ATL,CLE,,
14,2026-12-13,TEN,DET,,
14,2026-12-13,CHI,MIA,,
14,2026-12-13,DEN,NYJ,,
14,2026-12-13,IND,PHI,,
14,2026-12-13,HOU,WAS,,
14,2026-12-13,LAC,LV,,
14,2026-12-13,KC,CIN,,
14,2026-12-13,NYG,SEA,,
14,2026-12-13,LA,SF,,
14,2026-12-13,BUF,GB,,
14,2026-12-14,PIT,JAX,,
15,2026-12-17,SF,LAC,,
15,2026-12-19,SEA,PHI,,
15,2026-12-19,CHI,BUF,,
15,2026-12-20,CIN,CAR,,
15,2026-12-20,MIA,GB,,
15,2026-12-20,JAX,HOU,,
15,2026-12-20,CLE,NYG,,
15,2026-12-20,BAL,PIT,,
15,2026-12-20,NO,TB,,
15,2026-12-20,IND,TEN,,
15,2026-12-20,ATL,WAS,,
15,2026-12-20,NYJ,ARI,,
15,2026-12-20,DAL,LA,,
15,2026-12-20,DEN,LV,,
15,2026-12-20,DET,MIN,,
15,2026-12-21,NE,KC,,
16,2026-12-24,HOU,PHI,,
16,2026-12-25,GB,CHI,,
16,2026-12-25,BUF,DEN,,
16,2026-12-25,LA,SEA,,
16,2026-12-27,TB,ATL,,
16,2026-12-27,CLE,BAL,,
16,2026-12-27,CIN,IND,,
16,2026-12-27,LAC,MIA,,
16,2026-12-27,WAS,MIN,,
16,2026-12-27,ARI,NO,,
16,2026-12-27,NE,NYJ,,
16,2026-12-27,CAR,PIT,,
16,2026-12-27,TEN,LV,,
16,2026-12-27,SF,KC,,
16,2026-12-27,JAX,DAL,,
16,2026-12-28,NYG,DET,,
17,2026-12-31,BAL,CIN,,
17,2027-01-03,NO,ATL,,
17,2027-01-03,SEA,CAR,,
17,2027-01-03,IND,CLE,,
17,2027-01-03,NYG,DAL,,
17,2027-01-03,WAS,JAX,,
17,2027-01-03,KC,LAC,,
17,2027-01-03,BUF,MIA,,
17,2027-01-03,DEN,NE,,
17,2027-01-03,MIN,NYJ,,
17,2027-01-03,LA,TB,,
17,2027-01-03,PIT,TEN,,
17,2027-01-03,LV,ARI,,
17,2027-01-03,DET,CHI,,
17,2027-01-03,PHI,SF,,
17,2027-01-04,HOU,GB,,
18,2027-01-10,SF,ARI,,
18,2027-01-10,PIT,BAL,,
18,2027-01-10,NYJ,BUF,,
18,2027-01-10,ATL,CAR,,
18,2027-01-10,CLE,CIN,,
18,2027-01-10,LAC,DEN,,
18,2027-01-10,DET,GB,,
18,2027-01-10,TEN,HOU,,
18,2027-01-10,JAX,IND,,
18,2027-01-10,LV,KC,,
18,2027-01-10,SEA,LA,,
18,2027-01-10,CHI,MIN,,
18,2027-01-10,MIA,NE,,
18,2027-01-10,TB,NO,,
18,2027-01-10,PHI,NYG,,
18,2027-01-10,DAL,WAS,,
