name,pos,tier,team,adp,proj_pts,vor,p_avail_r1,p_avail_r2,p_avail_r3,p_avail_r4,p_avail_r5,p_avail_r6,p_avail_r7,p_avail_r8,p_avail_r9,p_avail_r10,p_avail_r11,p_avail_r12,p_avail_r13,p_avail_r14,p_avail_r15,p_avail_r16
Jahmyr Gibbs,RB,1,DET,1.0,332.5,195.1,0.087,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bijan Robinson,RB,1,ATL,2.0,325.5,188.1,0.158,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ja’Marr Chase,WR,1,CIN,3.0,316.5,165.4,0.269,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Christian McCaffrey,RB,2,SF,5.0,287.0,149.6,0.575,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Puka Nacua,WR,2,LAR,4.0,299.0,147.9,0.432,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jonathan Taylor,RB,2,IND,8.0,276.5,139.1,0.924,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jaxon Smith-Njigba,WR,2,SEA,6.0,288.5,137.4,0.745,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Amon-Ra St. Brown,WR,2,DET,7.0,285.0,133.9,0.861,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Saquon Barkley,RB,2,PHI,9.0,269.5,132.1,0.974,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
James Cook III,RB,2,BUF,10.0,266.0,128.6,0.987,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ashton Jeanty,RB,2,LV,11.0,259.0,121.6,0.995,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brock Bowers,TE,1,LV,20.0,207.5,112.0,1.000,0.621,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Derrick Henry,RB,3,BAL,14.0,248.5,111.1,1.000,0.050,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Justin Jefferson,WR,3,MIN,12.0,260.5,109.4,0.997,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CeeDee Lamb,WR,3,DAL,13.0,257.0,105.9,0.999,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Omarion Hampton,RB,3,LAC,15.0,241.5,104.1,1.000,0.119,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Trey McBride,TE,1,ARI,24.0,197.0,101.5,1.000,0.875,0.236,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kenneth Walker III,RB,3,KC,17.0,234.5,97.1,1.000,0.311,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chase Brown,RB,3,CIN,18.0,231.0,93.6,1.000,0.427,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A.J. Brown,WR,4,NE,16.0,243.0,91.9,1.000,0.200,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
De’Von Achane,RB,4,MIA,21.0,224.0,86.6,1.000,0.713,0.072,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nico Collins,WR,4,HOU,19.0,236.0,84.9,1.000,0.524,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Josh Allen,QB,1,BUF,25.0,362.0,80.5,1.000,0.900,0.334,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Drake London,WR,4,ATL,22.0,229.0,77.9,1.000,0.789,0.127,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rashee Rice,WR,4,KC,23.0,225.5,74.4,1.000,0.835,0.176,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jeremiyah Love,RB,5,ARI,31.0,206.5,69.1,1.000,0.979,0.741,0.037,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
George Pickens,WR,4,DAL,26.0,218.5,67.4,1.000,0.921,0.394,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chris Olave,WR,4,NO,27.0,218.5,67.4,1.000,0.942,0.484,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Josh Jacobs,RB,5,GB,32.0,203.0,65.6,1.000,0.981,0.775,0.059,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Emeka Egbuka,WR,4,TB,28.0,215.0,63.9,1.000,0.952,0.535,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tetairoa McMillan,WR,4,CAR,29.0,215.0,63.9,1.000,0.962,0.624,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lamar Jackson,QB,2,BAL,33.0,344.5,63.0,1.000,0.984,0.805,0.097,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colston Loveland,TE,2,CHI,43.0,158.5,63.0,1.000,0.998,0.970,0.568,0.132,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DeVonta Smith,WR,5,PHI,30.0,211.5,60.4,1.000,0.968,0.671,0.030,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Drake Maye,QB,2,NE,35.0,341.0,59.5,1.000,0.990,0.869,0.160,0.013,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tyler Warren,TE,2,IND,47.0,151.5,56.0,1.000,0.998,0.984,0.722,0.331,0.030,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tee Higgins,WR,6,CIN,34.0,204.5,53.4,1.000,0.989,0.838,0.127,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kyren Williams,RB,6,LAR,37.0,189.0,51.6,1.000,0.994,0.905,0.258,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jayden Daniels,QB,2,WAS,40.0,330.5,49.0,1.000,0.997,0.952,0.434,0.109,0.002,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Javonte Williams,RB,7,DAL,38.0,185.5,48.1,1.000,0.993,0.926,0.316,0.044,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Breece Hall,RB,7,NYJ,39.0,185.5,48.1,1.000,0.995,0.933,0.380,0.070,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ladd McConkey,WR,7,LAC,36.0,197.5,46.4,1.000,0.990,0.891,0.208,0.020,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Travis Etienne Jr.,RB,8,NO,46.0,175.0,37.6,1.000,0.997,0.979,0.669,0.312,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Malik Nabers,WR,8,NYG,41.0,187.0,35.9,1.000,0.998,0.958,0.457,0.131,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Zay Flowers,WR,8,BAL,42.0,187.0,35.9,1.000,0.998,0.960,0.509,0.170,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Joe Burrow,QB,3,CIN,48.0,316.5,35.0,1.000,0.999,0.984,0.761,0.442,0.048,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tucker Kraft,TE,3,GB,67.0,130.5,35.0,1.000,1.000,0.998,0.973,0.911,0.566,0.307,0.053,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jaylen Waddle,WR,9,DEN,44.0,183.5,32.4,1.000,0.999,0.976,0.616,0.240,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kyle Pitts,TE,3,ATL,72.0,127.0,31.5,1.000,1.000,0.999,0.982,0.942,0.705,0.472,0.131,0.013,0.001,0.000,0.000,0.000,0.000,0.000,0.000
Cam Skattebo,RB,9,NYG,50.0,168.0,30.6,1.000,0.999,0.989,0.812,0.496,0.052,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Davante Adams,WR,10,LAR,45.0,180.0,28.9,1.000,0.998,0.979,0.654,0.272,0.010,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Justin Herbert,QB,3,LAC,52.0,309.5,28.0,1.000,1.000,0.991,0.856,0.622,0.152,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jalen Hurts,QB,3,PHI,53.0,309.5,28.0,1.000,1.000,0.994,0.866,0.641,0.184,0.055,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Sam LaPorta,TE,3,DET,78.0,120.0,24.5,1.000,1.000,1.000,0.989,0.962,0.819,0.641,0.299,0.067,0.006,0.001,0.000,0.000,0.000,0.000,0.000
Terry McLaurin,WR,11,WAS,49.0,173.0,21.9,1.000,0.999,0.988,0.780,0.450,0.053,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jameson Williams,WR,11,DET,51.0,173.0,21.9,1.000,1.000,0.991,0.821,0.525,0.085,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Caleb Williams,QB,3,CHI,61.0,302.5,21.0,1.000,0.999,0.998,0.945,0.837,0.448,0.216,0.010,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Harold Fannin Jr.,TE,3,CLE,81.0,116.5,21.0,1.000,1.000,1.000,0.994,0.974,0.846,0.695,0.368,0.120,0.014,0.004,0.000,0.000,0.000,0.000,0.000
TreVeyon Henderson,RB,10,NE,59.0,157.5,20.1,1.000,1.000,0.997,0.927,0.773,0.293,0.043,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Quinshon Judkins,RB,10,CLE,60.0,157.5,20.1,1.000,0.999,0.995,0.927,0.780,0.326,0.070,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Luther Burden III,WR,12,CHI,54.0,169.5,18.4,1.000,0.999,0.992,0.869,0.635,0.147,0.024,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Garrett Wilson,WR,12,NYJ,55.0,169.5,18.4,0.731,0.999,0.993,0.876,0.657,0.189,0.035,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
D’Andre Swift,RB,11,CHI,62.0,154.0,16.6,1.000,1.000,0.998,0.945,0.831,0.404,0.130,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bucky Irving,RB,11,TB,63.0,154.0,16.6,1.000,1.000,0.998,0.957,0.842,0.434,0.164,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
David Montgomery,RB,11,HOU,64.0,154.0,16.6,1.000,1.000,0.998,0.961,0.857,0.477,0.207,0.012,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Mike Evans,WR,13,SF,56.0,166.0,14.9,0.373,1.000,0.994,0.911,0.707,0.209,0.059,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Christian Watson,WR,13,GB,57.0,166.0,14.9,0.037,1.000,0.997,0.917,0.728,0.234,0.069,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Trevor Lawrence,QB,3,JAX,68.0,295.5,14.0,1.000,1.000,0.999,0.976,0.911,0.651,0.467,0.068,0.017,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rhamondre Stevenson,RB,12,NE,66.0,150.5,13.1,0.913,1.000,0.999,0.968,0.879,0.519,0.252,0.033,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rome Odunze,WR,14,CHI,58.0,162.5,11.4,0.001,1.000,0.997,0.921,0.745,0.265,0.075,0.005,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chuba Hubbard,RB,13,CAR,70.0,147.0,9.6,0.764,1.000,0.997,0.977,0.921,0.631,0.384,0.093,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tony Pollard,RB,13,TEN,71.0,147.0,9.6,0.275,1.000,0.999,0.985,0.930,0.675,0.430,0.124,0.011,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Dak Prescott,QB,3,DAL,75.0,288.5,7.0,1.000,1.000,0.999,0.988,0.957,0.802,0.666,0.201,0.064,0.003,0.000,0.000,0.000,0.000,0.000,0.000
Bo Nix,QB,3,DEN,76.0,288.5,7.0,1.000,1.000,1.000,0.993,0.962,0.807,0.673,0.222,0.085,0.004,0.000,0.000,0.000,0.000,0.000,0.000
Travis Kelce,TE,4,KC,101.0,102.5,7.0,1.000,1.000,1.000,0.999,0.995,0.963,0.917,0.774,0.569,0.236,0.125,0.034,0.014,0.002,0.001,0.000
Jadarian Price,RB,14,SEA,73.0,143.5,6.1,0.009,1.000,0.999,0.985,0.946,0.704,0.467,0.155,0.041,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DJ Moore,WR,15,BUF,65.0,155.5,4.4,0.000,0.992,0.998,0.963,0.863,0.494,0.240,0.041,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brian Thomas Jr.,WR,15,JAX,69.0,155.5,4.4,0.000,0.976,1.000,0.978,0.916,0.624,0.355,0.085,0.021,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brock Purdy,QB,3,SF,79.0,285.0,3.5,1.000,1.000,0.999,0.990,0.970,0.858,0.752,0.301,0.134,0.013,0.002,0.000,0.000,0.000,0.000,0.000
