Round 1
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Keung ,Jahmyr Gibbs RB | DET ,,#1 RB,367.353
2,TheOhZone,Bijan Robinson RB | ATL ,31 sec,#2 RB,318.7164
3,Kenan,Ja'Marr Chase WR | CIN ,14 sec,#3 WR,279.2907
4,Nigel,Puka Nacua WR | LAR ,8 sec,#1 WR,307.9745
5,Hash,Jonathan Taylor RB | IND ,6 sec,#3 RB,309.4705
6,Tolga,Jaxon Smith-Njigba WR | SEA ,10 sec,#2 WR,289.5582
7,KGB,Christian McCaffrey RB | SF ,3 min 42 sec,#5 RB,281.4548
8,David,Amon-Ra St. Brown WR | DET ,7 sec,#4 WR,260.5402
9,Win95,James Cook RB | BUF,27 sec,#8 RB,246.0543
10,Cenk,De'Von Achane RB | MIA ,15 sec,#6 RB,280.7806
11,Sujay,CeeDee Lamb WR | DAL ,3 min 30 sec,#11 WR,221.5911
12,Sly,Chase Brown RB | CIN ,32 sec,#7 RB,264.8458
Round 2
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Sly,A.J. Brown WR | NE,16 sec,#9 WR,232.3742
2,Sujay,**Kenneth Walker III RB | KC ,1 min 30 sec,#10 RB,225.914076
3,Cenk,Justin Jefferson WR | MIN ,35 sec,#12 WR,215.8944
4,Win95,Chris Olave WR | NO ,26 sec,#8 WR,240.4207
5,David,Saquon Barkley RB | PHI ,10 sec,#9 RB,240.8615
6,KGB,Omarion Hampton RB | LAC,48 sec,#18 RB,210.3552
7,Tolga,Drake London WR | ATL,1 min 4 sec,#7 WR,241.4489
8,Hash,Derrick Henry RB | BAL ,4 sec,#4 RB,282.4201
9,Nigel,Josh Allen QB | BUF ,28 sec,#1 QB,437.8545
10,Kenan,Javonte Williams RB | DAL ,53 sec,#14 RB,216.2378
11,TheOhZone,Travis Etienne RB | NO ,1 min 13 sec,#12 RB,216.447
12,Keung ,Ashton Jeanty RB | LV ,15 sec,#13 RB,216.2389
Round 3
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Keung ,Brock Bowers TE | LV ,5 sec,#2 TE,195.8643
2,TheOhZone,Nico Collins WR | HOU ,1 min 7 sec,#10 WR,224.0541
3,Kenan,George Pickens WR | DAL ,9 sec,#6 WR,244.4973
4,Nigel,Kyren Williams RB | LAR ,1 min 9 sec,#17 RB,212.0954
5,Hash,Trey McBride TE | ARI ,9 sec,#1 TE,218.6409
6,Tolga,Jeremiyah Love RB | ARI ,58 sec,#20 RB,202.1618
7,KGB,DeVonta Smith WR | PHI ,53 sec,#17 WR,196.7788
8,David,Cam Skattebo RB | NYG ,9 sec,#15 RB,215.4074
9,Win95,D'Andre Swift RB | CHI ,9 sec,#11 RB,218.8264
10,Cenk,Rashee Rice WR | KC,55 sec,#5 WR,250.487
11,Sujay,Breece Hall RB | NYJ ,1 min 7 sec,#19 RB,209.0639
12,Sly,Tetairoa McMillan WR | CAR ,1 min 49 sec,#15 WR,207.9409
Round 4
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Sly,Bucky Irving RB | TB ,53 sec,#16 RB,215.1882
2,Sujay,Lamar Jackson QB | BAL ,13 sec,#3 QB,402.9403
3,Cenk,Malik Nabers WR | NYG ,55 sec,#14 WR,214.1348
4,Win95,Ladd McConkey WR | LAC,1 min 11 sec,#22 WR,185.2232
5,David,Terry McLaurin WR | WAS ,43 sec,#23 WR,184.7889
6,KGB,Colston Loveland TE | CHI ,27 sec,#3 TE,191.7394
7,Tolga,Quinshon Judkins RB | CLE,24 sec,#21 RB,197.211166
8,Hash,Zay Flowers WR | BAL ,34 sec,#13 WR,214.5265
9,Nigel,Tee Higgins WR | CIN ,1 min 16 sec,#16 WR,205.3393
10,Kenan,Drake Maye QB | NE,17 sec,#9 QB,390.9325
11,TheOhZone,Garrett Wilson WR | NYJ ,36 sec,#19 WR,192.6787
12,Keung ,Emeka Egbuka WR | TB ,1 min 9 sec,#18 WR,195.4286
Round 5
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Keung ,Jaylen Waddle WR | DEN ,1 min 2 sec,#26 WR,174.5923
2,TheOhZone,Bhayshul Tuten RB | JAC ,7 sec,#22 RB,192.5014
3,Kenan,Davante Adams WR | LAR ,30 sec,#25 WR,178.0952
4,Nigel,Rhamondre Stevenson RB | NE ,33 sec,#29 RB,167.0654
5,Hash,Joe Burrow QB | CIN ,49 sec,#5 QB,395.6769
6,Tolga,Luther Burden III WR | CHI ,18 sec,#24 WR,183.0905
7,KGB,Jadarian Price RB | SEA ,49 sec,#24 RB,177.0426
8,David,Brian Thomas Jr. WR | JAC ,15 sec,#31 WR,168.4866
9,Win95,DJ Moore WR | BUF,33 sec,#27 WR,173.8511
10,Cenk,Tyler Warren TE | IND ,1 min 22 sec,#7 TE,169.9719
11,Sujay,Christian Watson WR | GB ,42 sec,#28 WR,171.5553
12,Sly,David Montgomery RB | HOU ,6 sec,#23 RB,184.208067
Round 6
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Sly,Tucker Kraft TE | GB ,38 sec,#8 TE,166.697
2,Sujay,Jameson Williams WR | DET ,1 min 13 sec,#20 WR,190.7199
3,Cenk,Rico Dowdle RB | PIT ,1 min 10 sec,#26 RB,171.1423
4,Win95,Kenneth Gainwell RB | TB ,11 sec,#34 RB,159.2723
5,David,Jalen Hurts QB | PHI ,16 sec,#6 QB,394.6881
6,KGB,MarShawn Lloyd RB | GB ,1 min 19 sec,#28 RB,168.5252
7,Tolga,Sam LaPorta TE | DET ,7 sec,#9 TE,162.2887
8,Hash,Tony Pollard RB | TEN ,7 sec,#30 RB,166.010077
9,Nigel,Jaylen Warren RB | PIT ,1 min 17 sec,#25 RB,173.9453
10,Kenan,Kyle Pitts TE | ATL,39 sec,#13 TE,154.7698
11,TheOhZone,Parker Washington WR | JAC ,7 sec,#33 WR,165.7085
12,Keung ,Jayden Daniels QB | WAS ,1 min 24 sec,#7 QB,393.2782
Round 7
Pick,Team,Player,Elapsed Time,Rank,Proj Fpts,
1,Keung ,Mike Evans WR | SF ,47 sec,#34 WR,164.6154
2,TheOhZone,Jordan Mason RB | MIN ,15 sec,#36 RB,146.30537
