name,pos,tier,team,adp,proj_pts,vor,p_avail_r1,p_avail_r2,p_avail_r3,p_avail_r4,p_avail_r5,p_avail_r6,p_avail_r7,p_avail_r8,p_avail_r9,p_avail_r10,p_avail_r11,p_avail_r12,p_avail_r13,p_avail_r14,p_avail_r15,p_avail_r16
Jahmyr Gibbs,RB,1,DET,1.0,332.5,195.1,0.018,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Bijan Robinson,RB,1,ATL,2.0,325.5,188.1,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ja’Marr Chase,WR,1,CIN,3.0,316.5,165.4,0.081,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Christian McCaffrey,RB,2,SF,5.0,287.0,149.6,0.275,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Puka Nacua,WR,2,LAR,4.0,299.0,147.9,0.156,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jonathan Taylor,RB,2,IND,8.0,276.5,139.1,0.725,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jaxon Smith-Njigba,WR,2,SEA,6.0,288.5,137.4,0.422,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Amon-Ra St. Brown,WR,2,DET,7.0,285.0,133.9,0.589,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Saquon Barkley,RB,2,PHI,9.0,269.5,132.1,0.849,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
James Cook III,RB,2,BUF,10.0,266.0,128.6,0.924,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Ashton Jeanty,RB,2,LV,11.0,259.0,121.6,0.964,0.015,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Brock Bowers,TE,1,LV,20.0,207.5,112.0,1.000,0.796,0.008,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Derrick Henry,RB,3,BAL,14.0,248.5,111.1,0.994,0.153,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Justin Jefferson,WR,3,MIN,12.0,260.5,109.4,0.986,0.028,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
CeeDee Lamb,WR,3,DAL,13.0,257.0,105.9,0.992,0.079,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Omarion Hampton,RB,3,LAC,15.0,241.5,104.1,0.998,0.270,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Trey McBride,TE,1,ARI,24.0,197.0,101.5,1.000,0.939,0.142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Kenneth Walker III,RB,3,KC,17.0,234.5,97.1,1.000,0.511,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chase Brown,RB,3,CIN,18.0,231.0,93.6,1.000,0.645,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
A.J. Brown,WR,4,NE,16.0,243.0,91.9,0.998,0.399,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
De’Von Achane,RB,4,MIA,21.0,224.0,86.6,1.000,0.843,0.031,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Nico Collins,WR,4,HOU,19.0,236.0,84.9,1.000,0.733,0.003,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Josh Allen,QB,1,BUF,25.0,362.0,80.5,1.000,0.953,0.207,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Drake London,WR,4,ATL,22.0,229.0,77.9,1.000,0.883,0.058,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Rashee Rice,WR,4,KC,23.0,225.5,74.4,1.000,0.919,0.083,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Jeremiyah Love,RB,5,ARI,31.0,206.5,69.1,1.000,0.990,0.625,0.059,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
George Pickens,WR,4,DAL,26.0,218.5,67.4,1.000,0.965,0.272,0.002,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Chris Olave,WR,4,NO,27.0,218.5,67.4,1.000,0.969,0.342,0.006,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Josh Jacobs,RB,5,GB,32.0,203.0,65.6,1.000,0.993,0.666,0.104,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Emeka Egbuka,WR,4,TB,28.0,215.0,63.9,1.000,0.977,0.418,0.016,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tetairoa McMillan,WR,4,CAR,29.0,215.0,63.9,1.000,0.985,0.495,0.034,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Lamar Jackson,QB,2,BAL,33.0,344.5,63.0,1.000,0.992,0.711,0.151,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Colston Loveland,TE,2,CHI,43.0,158.5,63.0,1.000,0.999,0.952,0.655,0.092,0.007,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
DeVonta Smith,WR,5,PHI,30.0,211.5,60.4,1.000,0.987,0.561,0.053,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Drake Maye,QB,2,NE,35.0,341.0,59.5,1.000,0.996,0.798,0.266,0.009,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tyler Warren,TE,2,IND,47.0,151.5,56.0,1.000,0.999,0.968,0.779,0.276,0.040,0.001,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
Tee Higgins,WR,6,CIN,34.0,204.5,53.4,1.000,0.996,0.751,0.187,0.004,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
