name,pos,team,bye,adp,av,sos,pos_rank
Jahmyr Gibbs,RB,DET,6,1,65,328,RB1
Bijan Robinson,RB,ATL,11,2,63,331,RB2
Ja’Marr Chase,WR,CIN,6,3,59,251,WR1
Puka Nacua,WR,LAR,11,4,54,310,WR2
Christian McCaffrey,RB,SF,8,5,52,366,RB3
Jaxon Smith-Njigba,WR,SEA,11,6,51,300,WR3
Amon-Ra St. Brown,WR,DET,6,7,50,265,WR4
Jonathan Taylor,RB,IND,13,8,49,339,RB4
Saquon Barkley,RB,PHI,10,9,47,213,RB5
James Cook III,RB,BUF,7,10,46,,RB6
Ashton Jeanty,RB,LV,13,11,44,217,RB7
Justin Jefferson,WR,MIN,6,12,43,160,WR5
CeeDee Lamb,WR,DAL,14,13,42,163,WR6
Derrick Henry,RB,BAL,13,14,41,272,RB8
Omarion Hampton,RB,LAC,7,15,39,120,RB9
A.J. Brown,WR,NE,11,16,38,181,WR7
Kenneth Walker III,RB,KC,5,17,37,176,RB10
Chase Brown,RB,CIN,6,18,36,248,RB11
Nico Collins,WR,HOU,8,19,36,190,WR8
Brock Bowers,TE,LV,13,20,35,144,TE1
De’Von Achane,RB,MIA,6,21,34,289,RB12
Drake London,WR,ATL,11,22,34,168,WR9
Rashee Rice,WR,KC,5,23,33,123,WR10
Trey McBride,TE,ARI,14,24,32,253,TE2
Josh Allen,QB,BUF,7,25,32,365,QB1
George Pickens,WR,DAL,14,26,31,245,WR11
Chris Olave,WR,NO,8,27,31,218,WR12
Emeka Egbuka,WR,TB,10,28,30,164,WR13
Tetairoa McMillan,WR,CAR,5,29,30,176,WR14
DeVonta Smith,WR,PHI,10,30,29,163,WR15
Jeremiyah Love,RB,ARI,14,31,29,,RB13
Josh Jacobs,RB,GB,11,32,28,219,RB14
Lamar Jackson,QB,BAL,13,33,27,215,QB2
Tee Higgins,WR,CIN,6,34,27,182,WR16
Drake Maye,QB,NE,11,35,26,351,QB3
Ladd McConkey,WR,LAC,7,36,25,148,WR17
Kyren Williams,RB,LAR,11,37,24,245,RB15
Javonte Williams,RB,DAL,14,38,23,225,RB16
Breece Hall,RB,NYJ,13,39,23,190,RB17
Jayden Daniels,QB,WAS,7,40,23,114,QB4
Malik Nabers,WR,NYG,8,41,22,48,WR18
Zay Flowers,WR,BAL,13,42,22,200,WR19
Colston Loveland,TE,CHI,10,43,21,136,TE3
Jaylen Waddle,WR,DEN,10,44,21,162,WR20
Davante Adams,WR,LAR,11,45,20,193,WR21
Travis Etienne Jr.,RB,NO,8,46,20,,RB18
Tyler Warren,TE,IND,13,47,19,151,TE4
Joe Burrow,QB,CIN,6,48,19,134,QB5
Terry McLaurin,WR,WAS,7,49,18,95,WR22
Cam Skattebo,RB,NYG,8,50,18,116,RB19
Jameson Williams,WR,DET,6,51,18,187,WR23
Justin Herbert,QB,LAC,7,52,17,287,QB6
Jalen Hurts,QB,PHI,10,53,17,299,QB7
Luther Burden III,WR,CHI,10,54,17,,WR24
Garrett Wilson,WR,NYJ,13,55,17,82,WR25
Mike Evans,WR,SF,8,56,16,70,WR26
Christian Watson,WR,GB,11,57,16,114,WR27
Rome Odunze,WR,CHI,10,58,15,124,WR28
TreVeyon Henderson,RB,NE,11,59,15,188,RB20
Quinshon Judkins,RB,CLE,11,60,15,157,RB21
Caleb Williams,QB,CHI,10,61,15,318,QB8
D’Andre Swift,RB,CHI,10,62,14,212,RB22
Bucky Irving,RB,TB,10,63,14,124,RB23
David Montgomery,RB,HOU,8,64,14,155,RB24
DJ Moore,WR,BUF,7,65,13,,WR29
Rhamondre Stevenson,RB,NE,11,66,13,163,RB25
Tucker Kraft,TE,GB,11,67,13,101,TE5
Trevor Lawrence,QB,JAX,7,68,13,338,QB9
Brian Thomas Jr.,WR,JAX,7,69,13,,WR30
Chuba Hubbard,RB,CAR,5,70,12,110,RB26
Tony Pollard,RB,TEN,9,71,12,169,RB27
Kyle Pitts,TE,ATL,11,72,12,,TE6
Jadarian Price,RB,SEA,11,73,11,,RB28
Marvin Harrison Jr.,WR,ARI,14,74,11,107,WR31
Dak Prescott,QB,DAL,14,75,11,314,QB10
Bo Nix,QB,DEN,10,76,11,305,QB11
Jaylen Warren,RB,PIT,9,77,10,197,RB29
Sam LaPorta,TE,DET,6,78,10,87,TE7
Brock Purdy,QB,SF,8,79,10,177,QB12
Carnell Tate,WR,TEN,9,80,10,,WR32
Harold Fannin Jr.,TE,CLE,11,81,9,,TE8
Bhayshul Tuten,RB,JAX,7,82,9,84,RB30
Jordyn Tyson,WR,NO,8,83,9,,WR33
DK Metcalf,WR,PIT,9,84,8,,WR34
Jaxson Dart,QB,NYG,8,85,8,242,QB13
Alec Pierce,WR,IND,13,86,7,159,WR35
Parker Washington,WR,JAX,7,87,7,156,WR36
Kyler Murray,QB,MIN,6,88,7,78,QB14
Michael Wilson,WR,ARI,14,89,7,182,WR37
Courtland Sutton,WR,DEN,10,90,7,183,WR38
Quentin Johnston,WR,LAC,7,91,6,145,WR39
RJ Harvey,RB,DEN,10,92,7,183,RB31
Patrick Mahomes,QB,KC,5,93,6,,QB15
Jayden Reed,WR,GB,11,94,6,39,WR40
Jordan Addison,WR,MIN,6,95,6,114,WR41
Rico Dowdle,RB,PIT,9,96,6,196,RB32
Matthew Stafford,QB,LAR,11,97,5,350,QB16
Josh Downs,WR,IND,13,98,5,107,WR42
Blake Corum,RB,LAR,11,99,5,118,RB33
J.K. Dobbins,RB,DEN,10,100,5,110,RB34
Travis Kelce,TE,KC,5,101,5,155,TE9
Michael Pittman Jr.,WR,PIT,9,102,5,162,WR43
Makai Lemon,WR,PHI,10,103,5,,WR44
Malik Willis,QB,MIA,6,104,5,51,QB17
Jake Ferguson,TE,DAL,,105,4,147,TE10
Dalton Kincaid,TE,BUF,7,106,4,106,TE11
Baker Mayfield,QB,TB,10,107,4,272,QB18
Wan’Dale Robinson,WR,TEN,9,108,4,172,WR45
Kenneth Gainwell,RB,TB,10,109,4,184,RB35
Rachaad White,RB,WAS,7,110,4,123,RB36
Jakobi Meyers,WR,JAX,7,111,4,138,WR46
Chris Godwin Jr.,WR,TB,10,112,4,,WR47
Kyle Monangai,RB,CHI,10,113,3,138,RB37
Jared Goff,QB,DET,6,114,3,297,QB19
Isaiah Likely,TE,NYG,8,115,3,48,TE12
Jordan Love,QB,GB,11,116,3,235,QB20
